Bulan,Stok,Terjual,Tahun
5,187,177,2023
4,81,71,2023
3,174,164,2023
2,57,47,2023
1,57,47,2023
9,167,157,2022
8,355,349,2022
7,100,93,2022
6,130,126,2022
12,89,79,2022
11,108,98,2022
10,220,212,2022
