Bulan,Stok,Terjual,Tahun
5,165,155,2023
4,155,145,2023
3,123,113,2023
2,56,46,2023
1,56,46,2023
9,147,137,2022
8,130,122,2022
7,75,60,2022
6,95,91,2022
12,95,85,2022
11,154,144,2022
10,160,153,2022
